Name,Price,Cpu,Ram,Storage,Display,Graphics
Laptop Cũ HP Probook 440 G5 - Intel Core i5 8250U | 14 inch Full HD,7.990.000 đ,i5 - 8250U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel UHD 620
Laptop Cũ Dell Latitude 3400 - Intel Core i7,9.490.000 đ,i7-8565U,8GB DDR4,SSD 240GB,"14"" Full HD",Card rời MX130
Laptop cũ Dell Latitude 7480 - Intel Core i5,6.890.000 đ,i5 - 7200U,8GB DDR4,SSD 240GB,"14"" HD | Full HD",Intel HD Graphics
Laptop Cũ Dell Latitude 5420 - Intel Core i5-1135G7 | 14 inch Full HD,12.490.000 đ,i5-1135G7,8GB DDR4,SSD 256GB NVMe,"14"" Full HD",Intel Iris Xe Graphics
Laptop cũ Dell Latitude E6540  - Intel Core i7,6.990.000 đ,i7 - 4800MQ,8GB DDR3L,SSD 256GB,15.6'' Full HD,AMD HD 8790M
Laptop Cũ Dell Precision M4800 - Intel Core i7 MQ,8.490.000 đ,i7 - 4800MQ,8GB DDR4,SSD 256GB,"15.6"" Full HD | 4K",Quadro K2100M
Laptop Cũ Dell Latitude 5410 - Intel Core i5 | 14 inch Full HD,10.690.000 đ,i5 - 10310U,8GB DDR4,SSD 256GB,14 Inch Full HD,UHD Graphics 620
Laptop Cũ Dell Precision 7520 - Intel Core i7,11.390.000 đ,i7 - 6820HQ,8GB DDR4,SSD 256GB,15.6'' Full HD,Quadro M1200
Laptop Cũ HP Spectre Pro X360 G2 - Intel Core i5,8.690.000 đ,i5 - 6300U,8GB DDR4,SSD 256GB,"13.3"" Full HD",Intel HD Graphics
Laptop Cũ Dell Latitude 7390 - Intel Core i5,8.290.000 đ,i5 - 8250U,8GB DDR4,SSD 256GB,13.3'' Full HD,Intel HD 620
Laptop Dell Latitude E7470 - Intel Core i5,6.390.000 đ,i5 - 6200U,8GB DDR4,SSD 240GB,14 Inch HD+,Intel HD 520
Laptop cũ Dell Latitude E7270 - Intel Core i5,5.390.000 đ,i5 - 6200U,8GB,SSD 120GB,12.5 Inch HD,Intel HD 520
Laptop Cũ HP Probook 445 G7 - AMD Ryzen 5 | 14 inch Full HD,10.490.000 đ,R5 -4500U,8GB DDR4,SSD 256GB,"14"" Full HD",AMD Radeon Graphics
Laptop Cũ Dell Precision 5530 - Intel Core i7 / Xeon,16.990.000 đ,i7 - 8850H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Quadro P1000
Laptop Cũ Dell Latitude E5480 - Intel Core i5,6.090.000 đ,i5 - 6200U,8GB DDR4,SSD 240GB,14 Inch Full HD,Intel HD Graphics
Laptop Cũ Dell Latitude 7390 - Intel Core i7,9.290.000 đ,i7 - 8560U,8GB DDR4,SSD 256GB,13.3 Full HD,Intel HD 620
Laptop Cũ Dell XPS 13 9380 - Intel Core i5,13.990.000 đ,i5 - 8265U,8/16GB,SSD 256GB,"13.3"" Full HD",Intel UHD Graphics
Laptop cũ Dell Precision M4800 - Intel Core i5-4200M | AMD M5100,5.990.000 đ,i5 - 4200M,8GB DDR3,SSD 256GB,"15.6"" Full HD",AMD M5100
Laptop Cũ HP Notebook 14s-cr1006tu - Intel Core i5,8.390.000 đ,i5 - 8265U,8GB DDR4,SSD 256GB,14'' Full HD,Intel UHD Graphics
Laptop cũ HP Elitebook 840 G3 - Intel Core i5,5.990.000 đ,i5 - 6200U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD 520
Laptop Cũ HP Probook 645 G3 - AMD A10,3.990.000 đ,AMD A10,8GB DDR4,SSD 128GB,"14"" HD",AMD Radeon Vega
Laptop Cũ Dell Precision M6800 Intel Core i7 MQ,11.990.000 đ,i7 - 4800MQ,16GB DDR3L,SSD 256GB,17.3'' Full HD,Quadro K3100M
"[New Outlet] Dell XPS 13 9315 - i5-1230U | 13.4"" Full HD+",20.690.000 đ,Intel Core i5-1230U,8GB LPDDR5,SSD 512GB,13.4 Inch Full HD+,Intel Iris xe Graphics
Laptop Cũ Dell Latitude E5580 - Intel Core i5,7.590.000 đ,i5 - 7200U,8GB DDR4,SSD 240GB,15.6 Inch HD,Intel HD 620
Laptop Cũ HP Probook 650 G2 - Intel Core i5,6.290.000 đ,i5 - 6200U,8GB DDR4,SSD 256GB,15.6 Inch HD,Intel HD 520
Laptop Cũ HP Probook 640 G2 - Intel Core i5,5.390.000 đ,i5 - 6200U,8GB DDR4,SSD 256GB,14 Inch HD,Intel HD 520
Laptop cũ Dell Latitude 7480 - Intel Core i7,8.490.000 đ,i7 - 7600U,8GB DDR4,SSD 240GB,14 Inch HD,Intel HD 520
[New Outlet] Dell XPS Plus 9320 - Intel Core i7-1260P | RAM 16GB | 13.3 Inch Full HD+,29.990.000 đ,i7 - 1260P,16GB DDR5,SSD 512GB,13.3 Inch Full HD+,Intel Xe Graphics
Laptop Cũ Dell Dell XPS 13 9380 - Intel Core i7,15.990.000 đ,i7 - 8560U,16GB Onmain,SSD 256GB,"13.3"" Full HD",Intel UHD Graphics
Laptop Workstation Cũ HP Zbook 15 G3 - Intel Core i7 / Xeon,10.390.000 đ,i7 - 6820HQ,8GB DDR4,SSD 256GB,15.6'' Full HD,Quadro M1000M
Laptop Cũ HP Probook 650 G7 - Intel Core i5,10.490.000 đ,i5-10310U,8GB DDR4,Intel UHD Graphics,Trắng bạc,"15.6"" Full HD"
Laptop Cũ Dell Latitude 7490 - Intel Core i5,7.890.000 đ,i5 - 8250U,8GB DDR4,SSD 240GB,14 Inch HD,Intel UHD 620
Laptop Cũ Lenovo Thinkpad T480 - Intel Core i5,Liên Hệ,i5 - 8350U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude 5490 - Intel Core i5,6.990.000 đ,i5 - 8250U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD 620
Laptop Cũ Dell Precision 7510 - Intel Core i7 / Xeon,10.590.000 đ,i7 - 6820HQ,8GB DDR4,SSD 256GB,"15.6"" Full HD | 4K",Quadro M1000
Laptop Cũ Lenovo Thinkpad P52 - Intel Core i7 | Quadro P1000 | 15.6 Inch Full HD,16.990.000 đ,i7 - 8750H | 8850H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Quadro P1000
Laptop Cũ Dell Latitude 7400 - Intel Core i5,9.690.000 đ,i5 - 8265U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel UHD 620
Laptop Cũ Dell Latitude 5400 - Intel Core i5,8.490.000 đ,i5 - 8250U,8GB DDR4,SSD 240GB,14 Inch HD,Intel HD 620
Laptop Gaming cũ Dell Inspiron 7559 - Intel Core i5,9.790.000 đ,i5 - 6300HQ,8GB DDR3,SSD 240GB,15.6'' Full HD,Nvidia GTX 960M
Laptop Cũ HP 14s-dr2008tu - Intel Core i3-1115G4 | 14 inch Full HD,Liên Hệ,i3-1115G4,8GB DDR4,SSD 256GB,"14"" Full HD IPS",Intel UHD Graphics
Laptop Cũ HP Elitebook 830 G5 - Intel Core i5,7.990.000 đ,i5 - 8250U,8GB DDR4,SSD 256GB,"13.3"" Full HD",Intel UHD 620
Laptop Cũ Dell Precision 7530 - Intel Core i7 / Xeon,16.990.000 đ,i7 - 8750H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Quadro P1000M
Laptop Workstation Cũ Dell Precision 7730 - Intel Core i7 - Quadro P3200,19.990.000 đ,i7 - 8850H,16GB DDR4,SSD 512GB,"17.3"" Full HD",Quadro P3200
Laptop Cũ Dell Precision 7710 - Intel Core i7 / Xeon,16.990.000 đ,i7 - 6820HQ,8GB DDR4,SSD 256GB,17.3'' Full HD,Quadro M3000M
Laptop Cũ Dell Precision 7720 - Intel Core i7 / Xeon,15.990.000 đ,i7 - 6820HQ,8GB,SSD 256GB,"17.3"" Full HD",Quadro P3000M
Laptop Cũ Lenovo Thinkpad T480s - Intel Core i5,10.690.000 đ,i5 - 8265u,8GB DDR4,SSD 256GB,14'' Full HD,Intel HD Graphics
Laptop Cũ Dell Precision 3520 - Intel Core i7 / Xeon,10.390.000 đ,i7 - 6820HQ,16GB DDR4,SSD 240GB,15.6'' Full HD,Quadro M620
Laptop Dell Latitude 7280  - Intel Core i7,6.990.000 đ,i7 - 7600U,8GB DDR4,SSD 256GB,12.5 Inch HD,Intel HD 620
Laptop Dell Latitude E7470 - Intel Core i7,6.990.000 đ,i7 - 6600U,8GB DDR4,SSD 240GB,14'' Full HD,Intel HD 520
Laptop cũ Dell Precision 5510 - Intel Core i7 / Xeon,14.990.000 đ,Xeon E3-1505M,16GB DDR4,SSD 512GB,15.6'' Full HD,Quadro M1000M
Laptop Cũ Dell XPS 13 9370 - Intel Core i5,14.890.000 đ,i5 - 8250U,16GB LPDDR3L,SSD 240GB,13.3'' Full HD,Intel UHD 620
Laptop cũ Dell Precision 5520 - Intel Core i7 / Xeon E3,15.990.000 đ,i7 - 6820HQ,16GB DDR4,SSD 512GB,15.6 Inch 4K,Quadro M1200
Laptop Cũ Workstation Dell Precision 5540 - Intel Core i9,24.990.000 đ,Core i9-9880H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Quadro T2000
Laptop Workstation Cũ Dell Precision 5540 - Intel Core i7,20.990.000 đ,Core i7-9850H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Quadro T1000
Laptop Cũ Dell Latitude 7400 - Intel Core i7,10.490.000 đ,i7 - 8560U,8GB / 16GB,SSD 240GB,"14"" Full HD",Intel UHD 620
Laptop cũ Dell Latitude E7270 - Intel Core i7,5.990.000 đ,i7 - 6600U,8GB DDR4,SSD 256GB,12.5 Inch Full HD,Intel HD 520
Laptop cũ Dell Latitude E6540 - Intel Core i7 4600M,5.390.000 đ,i7 - 4600MQ,8GB DDR3L,SSD 256GB,15.6'' Full HD,AMD HD 8790M
Laptop Gaming cũ Dell Inspiron 7566 - Intel Core i5,9.990.000 đ,i5 - 6300HQ,8GB DDR4,SSD 240GB,"15.6"" Full HD",Ndivia GTX 960M
[New Outlet] Laptop Dell Inspiron 15 3505 4MM0H - AMD Ryzen 5 - 3500U | 15.6 Inch Full HD,9.990.000 đ,R5 - 3500U,8GB DDR4,SSD 256GB,15.6'' Full HD,AMD Radeon Graphics
[New Outlet] Laptop Dell Inspiron 16 5625-R1505S - AMD Ryzen 5 - 5625U | 16 Inch Full HD+,15.590.000 đ,R5 - 5625U,8GB DDR4,SSD 512GB NVMe,"16"" Full HD+",AMD Radeon Graphics
Laptop Cũ Dell Inspiron 14 5425 | AMD Ryzen 7-5825U | 14 Inch Full HD+,16.490.000 đ,AMD R7-5825U,8GB DDR4,SSD 512GB NVMe,"14.0"" Full HD+",AMD Radeon Vega
Laptop Cũ Dell Precision 5560 - Intel Core i7 - 11850H | Quadro T1200M | 15.6 Inch Full HD+,Liên Hệ,i7 - 11850H,32GB DDR4,SSD 512GB NVMe,"15"" Full HD+",Quadro T1200M
Laptop Cũ Dell Latitude 7300 - Intel Core i7,9.290.000 đ,i7 - 8560U,8GB DDR4,SSD 256GB,"13.3"" Full HD",Intel UHD 620
Laptop Cũ HP Elitebook 850 G5 - Intel Core i7,10.790.000 đ,i7 - 8560u,8GB DDR4,SSD 256GB,"15.6"" Full HD",Intel HD 620
Laptop Cũ Lenovo Thinkpad P53 - Intel Core i7 9850H | 16GB | Quadro T1000,21.990.000 đ,i7 - 9850H,16GB DDR4,SSD 512GB,15.6'' Full HD,Nvidia Quadro T1000
Laptop Cũ Surface Pro X 1876 13 (LTE) | CPU SQ1 | 13 inch 2K+ | Kèm Phím,18.990.000 đ,Microsoft® SQ1™,8GB,SSD 256GB,"13"" 2K+",Adreno™ 685 GPU
Laptop Cũ Dell Latitude 7420 - Intel Core i5-1145G7 | 14 inch Full HD,13.490.000 đ,i5-1145G7,8GB DDR4,SSD 256GB NVMe,"14"" Full HD",Intel Iris Xe Graphics
Laptop Cũ Dell Precision 7540 - Intel Core i7,Liên Hệ,i7 - 9850H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Quadro T1000M
Mac Mini Late 2014 Cũ A1347 EMC 2840 - Intel Core i5 2.6GHz,6.800.000 đ,,,,,
Laptop Cũ Dell Latitude 5490 - Intel Core i7,8.390.000 đ,i7 - 8650U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude 5590 - Intel Core i5,8.490.000 đ,i5 - 8250U,8GB DDR4,SSD 256GB,15.6 inch Full HD,Intel UHD Graphics
Laptop Cũ Dell Latitude 5580 - Intel Core i7,9.990.000 đ,i7 - 7820HQ,8GB DDR4,SSD 256GB,"15.6"" Full HD",Intel HD Graphics
Laptop cũ HP Elitebook x360 1040 G5 - Intel Core i5 | 14 inch Full HD,11.490.000 đ,i5 - 8250u,8GB LPDDR4,SSD 256GB,14 inch FHD,UHD 620
Laptop Cũ Dell XPS 13 9360 - Intel Core i7,13.990.000 đ,i7-7500U,8GB LPDDR3,SSD 256GB,13.3'' Full HD,Intel HD 620
Laptop Cũ Dell Precision M6700 Intel Core i7,10.990.000 đ,i7 - 3720 QM,8GB DDR3,SSD 256GB,"17.3"" Full HD",Quadro K5000M
Laptop Workstation Cũ ThinkPad P50 - Intel Xeon E3 | Nvidia M2000M - Flash Sale,11.990.000 đ,Xeon E3,8GB DDR4,SSD 240GB,"15.6"" Full HD",Quadro M2000M
Laptop Cũ Dell Latitude E5470 - Intel Core i7,Liên Hệ,i7 - 6820HQ,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD 530
Laptop Cũ Lenovo K21-80 - Intel Core i3,3.990.000 đ,i3 - 6100U,4GB DDR3L,SSD 120GB,12.5 Inch HD,Intel HD 520
Laptop Cũ Lenovo Thinkpad T470 - Intel Core i5,9.990.000 đ,i5 - 6300U,8GB DDR4,SSD 240GB,14'' Full HD,Intel HD Graphics
Laptop Cũ HP Elitebook 840 G5 - Intel Core i5,8.690.000 đ,i5 - 8350U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel UHD 620
Laptop Cũ HP Elitebook 745 G5 - AMD Ryzen 5,8.990.000 đ,AMD R5 - 2500U,16GB DDR4,SSD 256GB,"14"" Full HD",AMD Radeon Vega
Laptop Workstation Cũ ThinkPad P50 - Intel Core i7 / Xeon,12.990.000 đ,i7 - 6700HQ,8GB DDR4,SSD 240GB,"15.6"" Full HD",Quadro M1000M
Laptop Cũ Lenovo Thinkpad X1 Carbon Gen 4 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR4,SSD 240GB,14'' Full HD,Intel HD 520
Laptop Cũ Dell Latitude 7300 - Intel Core i5,Liên Hệ,i5 - 8265U,8GB DDR4,SSD 256GB,"13.3"" Full HD",Intel UHD 620
Laptop Cũ Lenovo Thinkpad T420 - Intel Core i5,3.390.000 đ,i5-2410M,4GB DDR3,SSD 128GB,14 Inch HD,Intel HD 3000
Laptop Cũ Dell Latitude 5591 - Intel Core i7,Liên Hệ,i7 - 8850H,8GB or 16GB DDR4,SSD 256GB,15.6'' Full HD,Intel UHD Graphics
Laptop cũ Dell Latitude E5450 - Intel Core i5,4.990.000 đ,i5 - 5200U,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 5500
Laptop Cũ Lenovo Thinkpad T14 Gen 1 - Intel Core i5,Liên Hệ,i5 - 10210U,8GB DDR4,SSD 256GB,14'' Full HD,Intel UHD Grapchis
Laptop Cũ Dell Vostro 3400 - Intel Core i3-1115G4,7.990.000 đ,Intel Core i3 1115G4,4GB DDR4,SSD 256GB NVMe,"14.0"" HD",Card Intel UHD Graphics
Laptop Cũ Dell Latitude E7450 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3,SSD 128GB,14 Inch HD,Intel HD 5500
Laptop Workstation Cũ Lenovo Thinkpad P51 - Intel Core i7,13.990.000 đ,i7 - 7700HQ,16GB DDR4,SSD 512GB,15.6'' Full HD,Quadro M1200
Laptop Gaming cũ Dell Inspiron 5577 - Intel Core i5,10.990.000 đ,i5 - 7300HQ,8GB DDR4,SSD 240GB,"15.6"" Full HD",Nvidia GTX 1050
Laptop Dell Latitude 7280  - Intel Core i5,6.290.000 đ,i5 - 6200U,8GB DDR4,SSD 240GB,12.5 Inch Full HD,Intel HD Graphics
Laptop Cũ Dell Latitude E5540 - Intel Core i5,4.690.000 đ,i5 - 4200U,4GB DDR3L,SSD 120GB,15.6 Inch HD,Intel HD 4400
Laptop Cũ Dell Latitude 5500 - Intel Core i7,Liên Hệ,i7 - 8665U,8GB DDR4,SSD 256GB,15.6'' Full HD,Intel UHD 620
Laptop Cũ Dell Latitude E5540 - Intel Core i3,Liên Hệ,i3 - 4005U,4GB DDR3,SSD 120GB,15.6 Inch HD,Intel HD 4400
Laptop Cũ Dell Latitude E6440 - Intel Core i5,4.390.000 đ,i5 - 4200M,4GB DDR3,SSD 120GB,14 Inch HD,AMD Radeon
Laptop Cũ Dell Latitude E6430 - Intel Core i5,3.590.000 đ,i5 - 3320M,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4000
Laptop cũ Dell Latitude E5550 - Intel Core i5,5.490.000 đ,i5 - 5200U,4GB DDR3,SSD 120GB,15.6 Inch HD,Intel HD 5500
Laptop HP Probook 450 G5 - Intel Core i5-7200U | 15.6 inch Full HD,7.490.000 đ,,,,,
Laptop cũ Dell Latitude E6540 - Intel Core i5,5.990.000 đ,i5 - 4200M,4GB DDR3L,SSD 120GB,15.6 Inch Full HD,Intel HD 4600
Laptop Cũ HP Elitebook 820 G3 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 520
Laptop Dell Latitude E5570 - Intel Core i7,7.690.000 đ,i7 - 6820HQ,8GB DDR4,SSD 240GB,15.6'' HD,AMD R7 M370
Laptop Dell Latitude E5570 - Intel Core i5,6.590.000 đ,i5 - 6200U,8GB DDR4,SSD 240GB,15.6'' Full HD,Intel HD 520
Laptop Cũ Dell Latitude 7370 - Intel Core M7,Liên Hệ,M7 - 6Y57,8GB LPDDR3,SSD 240GB,13.3'' Full HD,Intel HD 515
Laptop cũ Dell Latitude E5430 - Intel Core i5,Liên Hệ,i5 - 3210M,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4000
Laptop Cũ HP Probook 640 G3 - Intel Core i5,5.990.000 đ,i5 - 7200U,8GB DDR4,SSD 256GB,14 Inch HD,Intel HD 620
Laptop Cũ Lenovo Thinkpad L540 - Intel Core i5,4.890.000 đ,,,,,
Laptop cũ HP Elitebook 820 G1 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 128GB,12.5 Inch HD,Intel HD 4400
Laptop cũ Dell Latitude E7440 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4400
Laptop cũ Dell Latitude E7440 - Intel Core i7,Liên Hệ,i7 - 4600U,4GB / 8GB,SSD 120GB,14 Inch HD,Intel HD 4400
Laptop Cũ HP Elitebook 820 G4 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 256GB,12.5 Inch HD,Intel HD Graphics
Laptop Cũ Thinkpad X1 Yoga Gen 1 - Intel Core i5,Liên Hệ,i5 - 6300U,8GB LDDR3,SSD 256GB,14 Inch 2K,Intel HD 520
Laptop Cũ Dell Latitude E3540 - Intel Core i5,Liên Hệ,Core i5-4200U,4GB DDR3L,SSD 120GB,"15.6"" Full HD",Intel HD Graphics 4400
Laptop Cũ HP Probook 645 G2 - AMD A8,Liên Hệ,,,,,
Laptop Cũ Dell Latitude 7290 - Intel Core i5,Liên Hệ,i5 - 8250U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 620
Laptop Cũ Lenovo Thinkpad L560 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 256GB,15.6 Inch HD,Intel HD Graphics
Laptop Cũ Dell Latitude E7250 - Intel Core i7,Liên Hệ,i7 - 5600U,4GB DDR3L,SSD 120GB,12.5 Inch HD,Intel HD 5500
Laptop Cũ Lenovo Thinkpad T450s -  Intel Core i7,Liên Hệ,i7 - 5600U,8GB DDR3L,SSD 240GB,14 Inch HD+,Intel HD 5500
Laptop Gaming cũ Dell Inspiron 7559 - Intel Core i7,Liên Hệ,i7 - 6700HQ,8GB DDR3L,SSD 240GB,15.6'' Full HD,Nvidia GTX 960M
Laptop Cũ Dell Latitude 5591 - Intel Core i5,Liên Hệ,i5 - 8300H,8GB DDR4,SSD 256GB,"15.6"" Full HD",Intel UHD Graphics
Laptop Cũ HP Elitebook 840 G2 - Intel Core i7,Liên Hệ,i7 - 5600U,4GB DDR3L,SSD 128GB,14'' Full HD,Intel HD 5500
Laptop Cũ Toshiba Dynabook Satellite B551 - Intel Core i5,Liên Hệ,i5 - 2520M,4GB DDR3,SSD 128GB,15.6 Inch HD,Intel HD 3000
Laptop Cũ Lenovo Thinkpad X250 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,12.5 Inch HD,Intel HD 5500
Laptop cũ HP Zbook 17 G2 - Intel Core i7,Liên Hệ,i7 - 4810MQ,8GB DDR3,SSD 240GB,17.3'' Full HD,Quadro K3100M
Laptop Cũ Dell Latitude 3500 - Intel Core i5,Liên Hệ,i5 - 8250U,8GB DDR4,SSD 256GB,15.6 Inch HD,Intel HD 620
Laptop Gaming Cũ Dell Inspiron G7 7588 - Intel Core i5,Liên Hệ,i5 - 8300H,8GB DDR4,SSD 128GB + HDD 1TB,"15.6"" Full HD",Nvidia GTX 1050Ti
Laptop Cũ Dell Latitude 3340  - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,13.3 Inch HD,Intel HD 4400
Laptop Cũ Dell Latitude E7450 - Intel Core i7,Liên Hệ,Core i7-5600U,4GB / 8GB,SSD 240GB,"14"" HD",Intel HD Graphics 5500
Laptop Cũ HP Elitebook 820 G2 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,12.5 Inch HD,Intel HD 5500
Laptop Gaming Cũ Dell G3 3579 - Intel Core i7,Liên Hệ,i7 - 8750H,8GB DDR4,SSD 240GB,"15.6"" Full HD",Nvidia GTX 1050
Laptop cũ HP Elitebook 840 G3  - Intel Core i7,Liên Hệ,i7 - 6600U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD 520
Laptop cũ Dell Precision M4700 - Intel Core i7,Liên Hệ,i7 - 3720QM,8GB DDR3,SSD 240GB,"15.6"" Full HD",Quadro K1000M
Laptop Cũ Dell Latitude 7490 - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD 620
Laptop Gaming cũ Dell Inspiron 5577 - Intel Core i7,Liên Hệ,i7 - 7700HQ,8GB DDR4,SSD 240GB,"15.6"" Full HD",Nvidia GTX 1050
Laptop Cũ Dell Precision 3520 - Intel Core i5,7.990.000 đ,i5-7440HQ,8GB DDR4,SSD 240GB,15.6'' Full HD,Intel HD 630 Graphics
[New Outlet] Laptop Dell XPS Plus 9320 - Intel Core i7-1260P | RAM 16GB | 13.3 Inch 3K Olded,31.990.000 đ,i7 - 1260P,16GB DDR5,SSD 512GB,13.3 Inch 3K Olded,Intel Xe Graphics
Laptop Cũ Dell Inspiron 5502 MFK29 - Intel Core i5 - 1135G7 | 15.6 Inch Full HD,13.990.000 đ,i5 - 1135G7,12GB DDR4,SSD 256GB NMVe,15.6'' Full HD,Intel Iris Xe Graphics
Laptop cũ HP Elitebook x360 1040 G5 - Intel Core i7 | 14 inch Full HD,14.990.000 đ,i5 - 8560u,8GB LPDDR4,SSD 256GB,14 inch Full HD,UHD 620
Laptop Cũ Dell Precision 7760 - Intel Core i7 - 11850H | RTX  A3000M | 17.3 Inch Full HD,Liên Hệ,i7 - 11850H,32GB DDR4,SSD 512GB NVMe,17.3 Full HD,RTX A3000
Laptop Cũ HP Elitebook X360 1040 G6  - Intel Core i5 | 14 inch Full HD,Liên Hệ,i5 - 8250u,8GB LPDDR4,SSD 256GB,"14"" Full HD",Intel UHD 620
Laptop Cũ HP 17-by4062cl 4R7Z3UA - Intel Core i5 - 1135G7 | 17.3 Inch HD+,Liên Hệ,i5 - 1135G7,8GB DDR4,SSD 256GB NVMe,"17.3"" HD+",Intel® Iris Xe Graphics
Laptop Cũ Dell Inspiron 3525-4MP3R - AMD Ryzen 7 | MX550,15.990.000 đ,R7 - 5825U,16GB DDR4,SSD 512GB,"15.6"" Full HD",Nvidia MX550
Laptop Gaming Cũ Dell Inspiron G3 3579 - Intel Core i7,Liên Hệ,i7 - 8750H,8GB DDR4,SSD 256GB,15.6'' Full HD,Nvidia GTX 1050
Laptop Cũ Asus X407UA - Intel Core i5 - 8250U,Liên Hệ,i5 - 8250U,8GB DDR4,SSD128GB + HDD 500GB,14''  HD,Intel UHD 620
