Name,Price
(HOT SALE) Dell Inspiron 5415 AMD,14.500.000đ
Dell Latitude E7240 i7 4600U | RAM 4 GB | SSD 128GB | 12.5” HD | Card on,4.500.000đ
Laptop cũ Lenovo ThinkPad T470s – Core i5*7200U |8 GB RAM|256 GB SSD |14″FHD| On,6.300.000đ
Laptop Cũ Dell Inspiron N7566 Core i7-6700HQ| RAM 8GB| SSD 128GB + HDD 1T| VGA 4GB NVIDIA GeForce GTX 960M| 15.6 inch full HD,0đ
Laptop Lenovo Yoga 920 /i7 -8550U/ 16GB Ram/ 256GB SSD/ Card On/ FHD Cảm Ứng,0đ
Laptop Cũ HP zbook 15 g3 Core i7 6820HQ/ RAM 8GB/ SSD 256GB/ 15.6″ FHD/ CARD NVIDIA QUADRO M1000M,10.900.000đ
Laptop Cũ Dell Precision 5510 i7 6820HQ | 16GB | SSD 512GB | Nvidia Quadro M1000M | Full HD,12.800.000đ
XPS ĐÃ LÀM GÌ ĐỂ THU HÚT KHÁCH HÀNG ?,
Dell Inspiron 7557 Gaming i5 – 4210H | RAM 8GB| SSD 128GB + HDD 500GB| 15.6” Full HD | VGA GTX 960m (4gb),8.200.000đ
Laptop Cũ Dell Latitude E5550,
Laptop Cũ Dell G5 5587 Core i5-8300H| RAM 8GB| HDD 1TB + SSD 128GB| VGA NVIDIA GTX 1050Ti| 15.6 inch FHD,17.300.000đ
"Laptop HP ZBOOK STUDIO 15 G3 MOBILE WORKSTATION ( I7-6700HQ 2.6GHZ, 8GB RAM, 256GB SSD, VGA NVIDIA QUADRO M1000M 4GB Vram ) 15.6 FHD",13.500.000đ
Laptop Cũ Dell XPS 15 9575 i7- 8705G| Ram 8GB| SSD 256GB| FHD IPS Touch,0đ
Laptop Cũ Dell Latitude E6540/ i7-4800MQ/ Ram 8GB/ SSD 256GB/ Màn Full HD/ Card AMD Radeon 8790,8.900.000đ
Laptop Cũ HP zbook 15u g3 Core i7 6600U/ RAM 16 GB/ SSD 256GB/ 15.6″ FHD/ CARD AMD FirePro W4190M,0đ
"Laptop cũ Gaming Asus ROG Strix SCAR GL503 /Core i7-8750H /RAM 8GB, HDD 1TB + SSD 128GB, VGA 4GB NVIDIA GTX 1050Ti, 15.6 inch, FHD",0đ
Laptop Cũ Dell XPS 15 9575 i7- 8705G| Ram 8GB| SSD 256GB| FHD IPS Touch,0đ
Laptop Cũ Dell Inspiron N7566 Core i7-6700HQ| RAM 8GB| SSD 128GB + HDD 1T| VGA 4GB NVIDIA GeForce GTX 960M| 15.6 inch full HD,0đ
Laptop Cũ HP zbook 15u g3 Core i7 6600U/ RAM 16 GB/ SSD 256GB/ 15.6″ FHD/ CARD AMD FirePro W4190M,0đ
Laptop Cũ HP zbook 15 g3 Core i7 6820HQ/ RAM 8GB/ SSD 256GB/ 15.6″ FHD/ CARD NVIDIA QUADRO M1000M,10.900.000đ
Dell Inspiron 7557 Gaming i5 – 4210H | RAM 8GB| SSD 128GB + HDD 500GB| 15.6” Full HD | VGA GTX 960m (4gb),8.200.000đ
Laptop Cũ Dell Latitude E6540/ i7-4800MQ/ Ram 8GB/ SSD 256GB/ Màn Full HD/ Card AMD Radeon 8790,8.900.000đ
Laptop Cũ HP zbook 15 g3 Core i7 6820HQ/ RAM 8GB/ SSD 256GB/ 15.6″ FHD/ CARD NVIDIA QUADRO M1000M,10.900.000đ
Laptop Cũ HP ZBOOK 15 G1 I7 4800MQ | RAM 8GB | SSD 256GB | 15.6” FullHD | VGA NVIDIA K1100M,7.000.000đ
Laptop Cũ Dell Precision 5520 Máy Trạm Cao Cấp Siêu Mỏng,13.300.000đ
Laptop Cũ HP zbook 15u g3 Core i7 6600U/ RAM 16 GB/ SSD 256GB/ 15.6″ FHD/ CARD AMD FirePro W4190M,0đ
Laptop Cũ HP ZBOOK 15 G1 I7 4800MQ | RAM 8GB | SSD 256GB | 15.6” FullHD | VGA NVIDIA K1100M,7.000.000đ
Laptop Cũ HP zbook 15 g3 Core i7 6820HQ/ RAM 8GB/ SSD 256GB/ 15.6″ FHD/ CARD NVIDIA QUADRO M1000M,10.900.000đ
Dell Precision 7530 Core i7-8750H | RAM 16GB | 512 SSD PCle | NVIDIA Quadro P1000 | 15.6 inch FHD,14.000.000đ
Laptop cũ ASUS ROG Zephyrus M GM501 I7-8750H| RAM 16GB| SSD 256GB| CARD GTX 1060| FULL HD,0đ
Laptop Cũ Dell G7 7588 Core i7-8750H| RAM 8GB| SSD 128GB + HDD 1TB| VGA 4GB NVIDIA GTX 1050Ti| 15.6 inch FHD,16.500.000đ
Laptop Cũ Dell Latitude E5550,
Laptop Cũ Dell Precision 5530 /Core i7- 8750H / RAM 16GB / SSD 512GB / FHD / Nvidia Quadro P1000,15.900.000đ
Laptop Cũ HP zbook 15u g3 Core i7 6600U/ RAM 16 GB/ SSD 256GB/ 15.6″ FHD/ CARD AMD FirePro W4190M,0đ
Laptop Cũ Dell Latitude E5550,
Laptop Cũ Lenovo ThinkPad P50 i7-6820HQ| RAM 8GB| SSD 256GB| Quadro M1000M FHD| 15.6 FHD,10.200.000đ
Laptop Cũ Dell XPS 15 9575 i7- 8705G| Ram 8GB| SSD 256GB| FHD IPS Touch,0đ
Laptop Cũ Dell Precision 5520 Máy Trạm Cao Cấp Siêu Mỏng,13.300.000đ
XPS ĐÃ LÀM GÌ ĐỂ THU HÚT KHÁCH HÀNG ?,
Laptop Cũ Dell Precision 5530 /Core i7- 8750H / RAM 16GB / SSD 512GB / FHD / Nvidia Quadro P1000,15.900.000đ
Dell Precision 7530 Core i7-8750H | RAM 16GB | 512 SSD PCle | NVIDIA Quadro P1000 | 15.6 inch FHD,14.000.000đ
Dell Precision 7530 Core i7-8750H | RAM 16GB | 512 SSD PCle | NVIDIA Quadro P1000 | 15.6 inch FHD,14.000.000đ
