Name,Price,Cpu,Ram,Storage,Display,Graphics,Battery
"Dell Latitude 5300 i5-8365U 8GB SSD 240GB/256GB 13.3"" FHD IPS Touch",8.500.000,"Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)",8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400,256GB PCIe® NVMe™ M.2 SSD,"14″ FHD WVA (1920 x 1080), màn nhám chống lóa, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 300nits, độ phủ màu 72% NTSC, tần số quét 60Hz",Intel UHD Graphics 620,"4-cell, 60wh"
"Dell Latitude 5300 i5-8365U 8GB SSD 240GB/256GB 13.3"" FHD IPS Touch",8.500.000,"Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)",8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400,256GB PCIe® NVMe™ M.2 SSD,"14″ FHD WVA (1920 x 1080), màn nhám chống lóa, không cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 220nits, tần số quét 60Hz",Intel UHD Graphics 620,"3-cell, 42wh"
"Dell Latitude 5400 i5-8365U 8GB SSD 240GB/256GB 14"" FHD IPS",8.600.000,"Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)",8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400,256GB PCIe® NVMe™ M.2 SSD,"14″ FHD WVA (1920 x 1080), màn nhám chống lóa, không cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 220nits, tần số quét 60Hz",Intel UHD Graphics 620,"3-cell, 42wh"
"Dell Latitude 5300 i5-8365U 8GB SSD 240GB/256GB 13.3"" FHD IPS Touch",8.500.000,"Intel Core i7-1185G7 (4 nhân 8 luồng, có thể đạt xung nhịp tối đa turbo boost tới 4.8GHz, 12MB Smart Cache)","16GB LPDDR4x-4266, dual channel, không hỗ trợ nâng cấp","256GB PCIe® NVMe™ M.2 SSD, có 1 khe lắp duy nhất","14"" FHD+ (1920x1200) IPS, LED backlit, có cảm ứng, 400 nits, 100% sRGB, low blue light, low power",Đồ họa Intel® Iris® Xe,"4-cell, 57wh"
"Dell Latitude 5400 i5-8365U 8GB SSD 240GB/256GB 14"" FHD IPS",8.600.000,"Intel Core i7-1185G7 (4 nhân 8 luồng, có thể đạt xung nhịp tối đa turbo boost tới 4.8GHz, 12MB Smart Cache)","16GB LPDDR4x-4266, dual channel, không hỗ trợ nâng cấp","256GB PCIe® NVMe™ M.2 SSD, có 1 khe lắp duy nhất","14"" FHD+ (1920x1200) IPS, LED backlit, có cảm ứng, 400 nits, 100% sRGB, low blue light, low power",Đồ họa Intel® Iris® Xe,"4-cell, 57wh"
Thinkpad X1 Carbon Gen 9 i7-1185G7 16GB SSD 256GB Intel FHD+ IPS Touch,25.800.000,"Intel Core i7-1185G7 (4 nhân 8 luồng, có thể đạt xung nhịp tối đa turbo boost tới 4.8GHz, 12MB Smart Cache)","16GB LPDDR4x-4266, dual channel, không hỗ trợ nâng cấp","256GB PCIe® NVMe™ M.2 SSD, có 1 khe lắp duy nhất","14"" FHD+ (1920x1200) IPS, LED backlit, có cảm ứng, 400 nits, 100% sRGB, low blue light, low power",Đồ họa Intel® Iris® Xe,"4-cell, 57wh"
"Dell Latitude 5300 i5-8365U 8GB SSD 240GB/256GB 13.3"" FHD IPS Touch",8.500.000,"Intel® Core™ i7-7820HQ (4 nhân 8 luồng, xung nhịp cơ bản 2.9GHz, có thể đạt tối đa với Turbo Boost tới 3.9GHz, 8 MB Intel® Smart Cache)",16GB RAM DDR4 2400Mhz,512GB SSD,"14.1inch Màn 2K IPS (2560 x 1440) Anti-Glare LED Backlit, không cảm ứng",Intel® HD Graphics 630 + NVIDIA GeForce 940MX 2GB,6cells
"Dell Latitude 5400 i5-8365U 8GB SSD 240GB/256GB 14"" FHD IPS",8.600.000,"Intel® Core™ i7-7820HQ (4 nhân 8 luồng, xung nhịp cơ bản 2.9GHz, có thể đạt tối đa với Turbo Boost tới 3.9GHz, 8 MB Intel® Smart Cache)",16GB RAM DDR4 2400Mhz,512GB SSD,"14.1inch Màn 2K IPS (2560 x 1440) Anti-Glare LED Backlit, không cảm ứng",Intel® HD Graphics 630 + NVIDIA GeForce 940MX 2GB,6cells
Thinkpad X1 Carbon Gen 9 i7-1185G7 16GB SSD 256GB Intel FHD+ IPS Touch,25.800.000,"Intel® Core™ i7-7820HQ (4 nhân 8 luồng, xung nhịp cơ bản 2.9GHz, có thể đạt tối đa với Turbo Boost tới 3.9GHz, 8 MB Intel® Smart Cache)",16GB RAM DDR4 2400Mhz,512GB SSD,"14.1inch Màn 2K IPS (2560 x 1440) Anti-Glare LED Backlit, không cảm ứng",Intel® HD Graphics 630 + NVIDIA GeForce 940MX 2GB,6cells
Lenovo Thinkpad T470P i7-7820HQ 16GB SSD 512GB NVIDIA Geforce 940MX 2K IPS,16.900.000,"Intel® Core™ i7-7820HQ (4 nhân 8 luồng, xung nhịp cơ bản 2.9GHz, có thể đạt tối đa với Turbo Boost tới 3.9GHz, 8 MB Intel® Smart Cache)",16GB RAM DDR4 2400Mhz,512GB SSD,"14.1inch Màn 2K IPS (2560 x 1440) Anti-Glare LED Backlit, không cảm ứng",Intel® HD Graphics 630 + NVIDIA GeForce 940MX 2GB,6cells
