Loai phong,Ngay dang,Gia phong,Dien tich,Suc chua,Dien,Nuoc,May lanh,WC rieng,Cho de xe,Wifi,Tu do,Khong chung chu,Tu lanh,May giat,Bao ve,Giuong ngu,Nau an,Tivi,Thu cung,Tu quan ao,Cua so,May nuoc nong,Gac lung,Quan,Nam,Nu
Phòng cho thuê,2022-11-19,5000000.0,35.0,3.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Quận Cầu Giấy,1,1
Phòng cho thuê,2022-11-18,3500000.0,20.0,1.0,4000.0,50000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Quận Đống Đa,1,1
Căn hộ,2022-11-17,9000000.0,50.0,10.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bắc Từ Liêm,1,1
Phòng cho thuê,2022-11-17,3700000.0,36.0,1.0,4000.0,70000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hai Bà Trưng,1,0
Căn hộ,2022-11-16,7000000.0,40.0,3.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2022-11-15,5000000.0,30.0,4.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng cho thuê,2022-11-14,2500000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2022-11-13,4000000.0,35.0,5.0,3000.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2022-11-12,4100000.0,40.0,4.0,3000.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Căn hộ,2022-12-05,1299000.0,130.0,6.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,0
Căn hộ,2022-11-09,9500000.0,43.0,5.0,1000.0,6000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Căn hộ,2022-11-09,8500000.0,28.0,5.0,35000.0,35000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Phòng cho thuê,2022-11-04,3200000.0,36.0,1.0,4000.0,50000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Đống Đa,1,1
Phòng cho thuê,2022-11-01,4300000.0,25.0,4.0,3500.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Ký túc xá,2022-10-28,4000000.0,100.0,2.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2022-10-18,7700000.0,30.0,4.0,3800.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Thanh Xuân,1,1
Căn hộ,2022-09-23,10000000.0,50.0,4.0,3800.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàn Kiếm,1,1
Phòng cho thuê,2022-09-23,5500000.0,25.0,3.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàn Kiếm,1,1
Phòng cho thuê,2022-09-03,3000000.0,25.0,3.0,3000.0,50000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Hoài Đức,1,1
Phòng cho thuê,2022-11-09,10000000.0,61.0,5.0,1000.0,6000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Căn hộ,2022-11-09,9500000.0,43.0,5.0,1000.0,6000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Nam Từ Liêm,1,1
Căn hộ,2022-08-05,8000000.0,40.0,4.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Ba Đình,1,1
Căn hộ,2022-08-01,9500000.0,40.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Ba Đình,1,1
Phòng cho thuê,2022-07-30,4500000.0,28.0,4.0,3800.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Thanh Xuân,1,1
Phòng cho thuê,2022-07-16,3000000.0,12.0,2.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Phòng cho thuê,2022-06-30,5500000.0,30.0,4.0,3800.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hà Đông,1,1
Phòng cho thuê,2022-06-27,4500000.0,30.0,4.0,3800.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Cầu Giấy,1,1
Phòng ở ghép,2022-06-19,4000000.0,100.0,2.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Căn hộ,2022-06-02,11000000.0,79.0,4.0,5000.0,30000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Hoàng Mai,1,1
Phòng cho thuê,2022-09-03,3000000.0,25.0,3.0,3000.0,50000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Hoài Đức,1,1
Phòng cho thuê,2022-05-09,4500000.0,28.0,3.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tây Hồ,1,1
